"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.906759000E0,9.056167603E-2,6.526428223E-2,9.834698639E0,9.835332133E0
1.916801000E0,8.861572266E-2,7.050338745E-2,9.824070740E0,9.824723374E0
1.926844000E0,1.049317932E-1,6.436614990E-2,9.809550934E0,9.810323298E0
1.936887000E0,8.801696777E-2,6.481521606E-2,9.814041595E0,9.814650296E0
1.946929000E0,9.131011963E-2,6.840774536E-2,9.813293152E0,9.813956370E0
1.956972000E0,1.019380188E-1,7.664062500E-2,9.821675720E0,9.822503708E0
1.967015000E0,9.340576172E-2,4.864883423E-2,9.810598755E0,9.811164012E0
1.977057000E0,1.124162292E-1,7.349716187E-2,9.811646576E0,9.812565810E0
1.987100000E0,8.801696777E-2,7.289840698E-2,9.817634125E0,9.818299291E0
1.997143000E0,9.175918579E-2,6.631210327E-2,9.806108093E0,9.806761595E0
2.007185000E0,1.118174744E-1,7.334747314E-2,9.802216187E0,9.803128336E0
2.017228000E0,9.610015869E-2,7.484436035E-2,9.827513580E0,9.828268418E0
2.027271000E0,8.936416626E-2,6.002517700E-2,9.825567627E0,9.826157345E0
2.037313000E0,1.074765015E-1,5.239105225E-2,9.827962646E0,9.828689933E0
2.047356000E0,8.696914673E-2,6.586303711E-2,9.821376343E0,9.821982226E0
2.057399000E0,8.083190918E-2,6.032455444E-2,9.814640350E0,9.815158585E0
2.067441000E0,9.340576172E-2,6.855743408E-2,9.813592529E0,9.814276493E0
2.077484000E0,1.112187195E-1,7.364685059E-2,9.795779572E0,9.796687750E0
2.087527000E0,1.028361511E-1,6.391708374E-2,9.812245331E0,9.812992362E0
2.097569000E0,8.906478882E-2,6.406677246E-2,9.805958405E0,9.806572149E0
2.107612000E0,9.520202637E-2,6.481521606E-2,9.820478210E0,9.821153533E0
2.117655000E0,9.834548950E-2,7.334747314E-2,9.813293152E0,9.814060025E0
2.127697000E0,7.679031372E-2,6.451583862E-2,9.816735992E0,9.817248321E0
2.137740000E0,9.535171509E-2,7.110214233E-2,9.828262024E0,9.828981731E0
2.147783000E0,9.924362183E-2,6.436614990E-2,9.824070740E0,9.824782858E0
2.157826000E0,9.894424438E-2,6.616241455E-2,9.824968872E0,9.825689837E0
