"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.531496583E0,3.405605918E-2,2.216105696E-2,-3.901262283E-3,4.081846959E-2
2.541539583E0,-2.985268543E-3,1.057461642E-2,1.112099487E-1,1.117514520E-1
2.551582583E0,-2.127022223E-2,3.904788885E-3,9.160248041E-2,9.412058302E-2
2.561626583E0,-2.065418837E-2,9.803944258E-3,-5.554094732E-2,6.006254781E-2
2.571669583E0,-2.755054983E-3,9.594166260E-3,1.646049678E-2,1.925061839E-2
2.581712583E0,6.693497335E-3,-6.066586738E-3,1.181008923E-1,1.184458828E-1
2.591755583E0,-3.953377877E-3,3.069870444E-3,-1.257736087E-2,1.353673918E-2
2.601798583E0,1.342451278E-2,1.713337426E-2,-6.766281009E-2,7.107760495E-2
2.611842583E0,2.233436066E-2,6.359797195E-3,6.241610348E-2,6.659610094E-2
2.621885583E0,1.448583724E-3,1.993415401E-2,3.801859617E-2,4.295209594E-2
2.631928583E0,8.793760096E-3,2.407517041E-2,-1.007422632E-1,1.039516601E-1
2.641971583E0,2.186948646E-2,2.614697596E-2,-6.556541383E-2,7.389697072E-2
2.652014583E0,2.247621960E-2,1.922273973E-2,5.613327026E-2,6.344791723E-2
2.662058583E0,1.186434774E-2,3.160126786E-2,-2.858996093E-2,4.423560493E-2
2.672101583E0,-2.839126980E-3,3.370418242E-2,-8.098101318E-2,8.776079449E-2
2.682144583E0,-3.854354366E-3,2.258142608E-2,2.230537355E-2,3.197352875E-2
2.692187583E0,5.680003557E-3,3.216980908E-2,6.888604760E-3,3.338580435E-2
2.702231583E0,-1.979293005E-2,1.261513936E-2,-8.472206175E-2,8.791319337E-2
2.712274583E0,1.900840273E-2,2.223232904E-2,-2.948575437E-2,4.153318600E-2
2.722317583E0,8.620417560E-4,1.732600347E-2,5.868148685E-2,6.119191459E-2
2.732360583E0,-1.991057329E-2,2.312920969E-3,-1.676104367E-2,2.612877948E-2
2.742403583E0,3.281350073E-3,1.595052822E-2,-6.915209591E-2,7.104364136E-2
2.752447583E0,1.450470821E-2,3.545998251E-3,2.545292974E-2,2.950952890E-2
2.762490583E0,9.723894505E-3,7.903471263E-3,5.359616339E-2,5.504150900E-2
2.772533583E0,-2.748396923E-4,2.612218011E-2,-4.684496820E-2,5.363669338E-2
2.782576583E0,1.912523741E-2,2.160057393E-2,-2.049741447E-2,3.539072619E-2
2.792620583E0,3.080283513E-3,1.624954021E-2,9.012313485E-2,9.162813508E-2
2.802663583E0,4.427712690E-4,1.670979830E-2,1.393333018E-2,2.176122918E-2
2.812706583E0,-1.863179865E-2,3.739886440E-2,-6.405566275E-2,7.647840813E-2
2.822749583E0,1.099478911E-2,2.181022402E-2,3.279293954E-2,4.088946250E-2
2.832792583E0,1.060143367E-2,1.201287615E-2,8.712994516E-2,8.859078356E-2
2.842836583E0,-4.612073572E-3,4.437462922E-2,-1.121612906E-2,4.600196183E-2
2.852879583E0,1.679524303E-2,2.777390890E-2,-2.079620719E-2,3.854805361E-2
2.862922583E0,3.419812368E-2,2.988420557E-2,6.018597543E-2,7.539846845E-2
